naics,group_name,real_energy_intensity
334111,High Energy,64.44877905238373
334413,High Energy,8.241646963862017
334112,High Energy,4.553756326960504
334118,High Energy,1.9002739534416897
311213,High Energy,0.6525992339792175
327410,High Energy,0.6252026922243226
331313,High Energy,0.6052488366951975
327310,High Energy,0.5040858237519266
322122,High Energy,0.45423268695558916
327211,High Energy,0.41330617369566175
325312,High Energy,0.38547388583825226
334613,High Energy,0.34091463257991333
311221,High Energy,0.32702429691162777
325120,High Energy,0.304354026023745
322121,High Energy,0.2626987373161744
311313,High Energy,0.2595082327159408
311224,High Energy,0.2555509517669249
322130,High Energy,0.25220952165856053
327120,High Energy,0.2487234823244514
325311,High Energy,0.2356005960990625
325180,High Energy,0.23532344529939897
331110,High Energy,0.23217473758271717
331410,High Energy,0.2193345429659414
325220,High Energy,0.20747438232981785
321219,High Energy,0.20417230612742848
322110,High Energy,0.19041861060399826
327993,High Energy,0.17995751074229954
313110,High Energy,0.17763725917608333
313310,High Energy,0.17599968598490423
332811,High Energy,0.16731838176312322
327420,High Energy,0.15745546316391001
335991,High Energy,0.14615827499357542
325130,High Energy,0.14386413367083353
311512,High Energy,0.14244759431085344
335921,High Energy,0.13873255381422986
324199,High Energy,0.1372199644302792
321113,High Energy,0.13170410789351747
327992,High Energy,0.12897973739679347
313210,High Energy,0.12528108393803222
313240,High Energy,0.12298047253145476
325314,High Energy,0.1180463564357085
321912,High Energy,0.11066213034483223
331492,High Energy,0.10794220739734683
327213,High Energy,0.10675135500277151
331511,High Energy,0.10538463963625118
327212,High Energy,0.10531444955711786
331315,High Energy,0.10091907496436976
311314,High Energy,0.09947541926541695
311613,High Energy,0.09942773517815477
334418,High Energy,0.09900735028149914
331221,High Energy,0.09820988404248383
324110,High Energy,0.09439817976643676
312113,High Energy,0.09322447502475614
325194,High Energy,0.09303385850010618
311513,High Energy,0.09298460036595717
314994,High Energy,0.09297390854583415
332111,High Energy,0.09160026568693513
334614,High Energy,0.08844343796743324
311514,High Energy,0.08767711115692893
332112,High Energy,0.0857924437256842
321211,High Energy,0.08527864459673852
311225,High Energy,0.08423298424853404
325920,High Energy,0.08383714128218679
331513,High Energy,0.08337625699886649
321114,High Energy,0.08213558509013516
311211,High Energy,0.08171183659298319
334310,High Energy,0.08131581852764466
321999,High Energy,0.07722338750825399
331318,High Energy,0.07721536510102407
311615,High Energy,0.07572540525045063
334210,High Energy,0.07508630086756705
331529,High Energy,0.0734127428920144
325193,High Energy,0.07308730702384231
314110,High Energy,0.07212791895939993
326150,High Energy,0.07136325759989919
332813,High Energy,0.0701411727327785
